"","brand","model","processor_brand","processor_name","processor_gnrtn","processor_gnrtn_isBAD","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","display_size_isBAD","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews","latest_price_cat"
"802","Lenovo","Legion","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",256,1024,"Windows","64-bit",4,"Casual",15.6,0,0,"No","No",1104.83870967742,90890,24,4.5,271,24,"mid"
"803","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",256,1024,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",886.935483870968,78990,30,4.6,49,6,"mid"
"804","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",256,1024,"Windows","32-bit",0,"Casual",15.6,0,1,"No","Yes",886.935483870968,78990,30,4.4,474,65,"mid"
"805","Lenovo","Ideapad","AMD","Ryzen 5",10.3318112633181,1,8,"DDR4",256,1024,"Windows","64-bit",0,"Gaming",15.6,0,1,"No","Yes",1032.09677419355,85290,24,4.5,861,116,"mid"
"806","HP","Pavilion","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",256,1024,"Windows","64-bit",4,"Gaming",15.1220212765957,1,1,"No","No",1290.32258064516,83085,3,4.6,34,6,"mid"
"808","ASUS","VivoBook","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",256,1024,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","Yes",1015.96774193548,74990,16,4.2,165,34,"mid"
"809","HP","Ryzen","AMD","Ryzen 5",10.3318112633181,1,4,"DDR4",256,1024,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,1,"No","No",854.677419354839,57331,7,4.4,698,74,"mid"
"811","ASUS","ASUS","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",512,0,"Windows","32-bit",4,"Gaming",17.3,0,0,"No","No",1241.77419354839,106990,28,4.8,22,3,"mid"
"813","ASUS","ROG","AMD","Ryzen 7",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,0,"No","No",1161.12903225806,90990,20,4.5,144,16,"mid"
"814","ASUS","ROG","AMD","Ryzen 7",10.3318112633181,1,8,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,0,"No","No",1161.12903225806,90990,20,4.5,1810,235,"mid"
"815","Lenovo","Lenovo","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",4,"Casual",15.6,0,1,"No","Yes",1612.74193548387,138490,27,4.6,26,1,"high"
"818","ASUS","ASUS","AMD","Ryzen 7",10.3318112633181,1,16,"DDR4",512,0,"Windows","64-bit",4,"Gaming",17.3,0,0,"No","No",1338.54838709677,107990,23,4.6,1067,145,"high"
"820","ASUS","VivoBook","AMD","Ryzen 7",10.3318112633181,1,4,"DDR4",512,0,"Windows","64-bit",0,"Casual",16,0,1,"No","No",1499.83870967742,129990,28,4.7,25,4,"high"
